,,,,,,,
Län och kommuner i nummerordning samt motsvarande koder för vissa andra administrativa och icke-administrativa områden 2025-01-01,,,,,,,
,,,,,,,
"Counties and municipalities in numerical order, with corresponding numerical codes ",,,,,,,
for some other administrative and non-administrative subdivisions 2025-01-01,,,,,,,
,,,,,,,
,,,,,,,
Länskod,Länsnamn,Kommunkod,Kommun,Lokal,Funktionell analys-,Kommungrupp,Degree of
,,,,arbetsmarknad,region (Tillväxtanalys),(SKR),urbanisation
County code,County,Municipality code,Municipality,Local labour,Functional analysis,Classification,(DEGURBA)
,,,,market,region,of municipality,
,,,,,,,
,,,,,,,
13,Halland,1380,Halmstad,LA2319,6,B3,2
13,Halland,1381,Laholm,LA2319,6,B4,3
13,Halland,1382,Falkenberg,LA2321,15,C6,2
13,Halland,1383,Varberg,LA2321,15,C6,2
13,Halland,1384,Kungsbacka,LA2321,15,A2,2
14,Västra Götaland,1401,Härryda,LA2321,15,A2,2
14,Västra Götaland,1402,Partille,LA2321,15,A2,1
14,Västra Götaland,1407,Öckerö,LA2321,15,A2,2
14,Västra Götaland,1415,Stenungsund,LA2321,15,A2,2
14,Västra Götaland,1419,Tjörn,LA2321,15,C7,3
14,Västra Götaland,1421,Orust,LA2321,15,C7,3
14,Västra Götaland,1427,Sotenäs,LA2321,16,C9,2
14,Västra Götaland,1430,Munkedal,LA2321,16,C7,3
14,Västra Götaland,1435,Tanum,LA2322,28,C9,3
14,Västra Götaland,1438,Dals-Ed,LA2320,28,C7,3
14,Västra Götaland,1439,Färgelanda,LA2321,16,C7,3
14,Västra Götaland,1440,Ale,LA2321,15,A2,2
14,Västra Götaland,1441,Lerum,LA2321,15,A2,2
14,Västra Götaland,1442,Vårgårda,LA2321,15,C7,3
14,Västra Götaland,1443,Bollebygd,LA2321,15,A2,3
14,Västra Götaland,1444,Grästorp,LA2321,16,B4,3
14,Västra Götaland,1445,Essunga,LA2324,17,C7,3
14,Västra Götaland,1446,Karlsborg,LA2325,18,C7,3
14,Västra Götaland,1447,Gullspång,LA2325,18,C7,3
14,Västra Götaland,1452,Tranemo,LA2323,14,B5,3
14,Västra Götaland,1460,Bengtsfors,LA2320,28,C8,3
14,Västra Götaland,1461,Mellerud,LA2321,16,C7,3
14,Västra Götaland,1462,Lilla Edet,LA2321,15,A2,3
14,Västra Götaland,1463,Mark,LA2321,15,B4,3
14,Västra Götaland,1465,Svenljunga,LA2323,14,B4,3
14,Västra Götaland,1466,Herrljunga,LA2323,15,B4,3
14,Västra Götaland,1470,Vara,LA2324,17,C7,3
14,Västra Götaland,1471,Götene,LA2324,17,C7,3
14,Västra Götaland,1472,Tibro,LA2325,18,C7,2
14,Västra Götaland,1473,Töreboda,LA2325,18,C7,3
14,Västra Götaland,1480,Göteborg,LA2321,15,A1,1
14,Västra Götaland,1481,Mölndal,LA2321,15,A2,1
14,Västra Götaland,1482,Kungälv,LA2321,15,A2,2
14,Västra Götaland,1484,Lysekil,LA2321,16,C8,2
14,Västra Götaland,1485,Uddevalla,LA2321,16,B5,2
14,Västra Götaland,1486,Strömstad,LA2322,28,C9,2
14,Västra Götaland,1487,Vänersborg,LA2321,16,B4,2
14,Västra Götaland,1488,Trollhättan,LA2321,16,B3,2
14,Västra Götaland,1489,Alingsås,LA2321,15,A2,2
14,Västra Götaland,1490,Borås,LA2323,14,B3,1
14,Västra Götaland,1491,Ulricehamn,LA2323,14,B5,3
14,Västra Götaland,1492,Åmål,LA2328,27,C7,2
14,Västra Götaland,1493,Mariestad,LA2325,18,C6,2
14,Västra Götaland,1494,Lidköping,LA2324,17,C6,2
14,Västra Götaland,1495,Skara,LA2325,18,C7,2
14,Västra Götaland,1496,Skövde,LA2325,18,C6,2
14,Västra Götaland,1497,Hjo,LA2325,18,C7,2
14,Västra Götaland,1498,Tidaholm,LA2325,18,C7,2
14,Västra Götaland,1499,Falköping,LA2325,18,C6,2
17,Värmland,1715,Kil,LA2328,27,B4,2
17,Värmland,1730,Eda,LA2330,28,C9,3
17,Värmland,1737,Torsby,LA2326,29,C8,3
17,Värmland,1760,Storfors,LA2332,27,C7,3
17,Värmland,1761,Hammarö,LA2328,27,B4,2
17,Värmland,1762,Munkfors,LA2328,27,B5,3
17,Värmland,1763,Forshaga,LA2328,27,B4,2
17,Värmland,1764,Grums,LA2328,27,B4,2
17,Värmland,1765,Årjäng,LA2327,28,C9,3
17,Värmland,1766,Sunne,LA2326,27,C8,3
17,Värmland,1780,Karlstad,LA2328,27,B3,2
17,Värmland,1781,Kristinehamn,LA2328,27,B5,2
17,Värmland,1782,Filipstad,LA2328,27,C8,2
17,Värmland,1783,Hagfors,LA2329,27,C8,3
17,Värmland,1784,Arvika,LA2330,27,C8,2
17,Värmland,1785,Säffle,LA2328,27,C8,2
18,Örebro,1814,Lekeberg,LA2332,25,B4,3
18,Örebro,1860,Laxå,LA2332,25,B5,3
18,Örebro,1861,Hallsberg,LA2332,25,B4,3
18,Örebro,1862,Degerfors,LA2332,26,C7,2
18,Örebro,1863,Hällefors,LA2331,25,C8,3
18,Örebro,1864,Ljusnarsberg,LA2332,25,C7,3
18,Örebro,1880,Örebro,LA2332,25,B3,1
18,Örebro,1881,Kumla,LA2332,25,B4,2
18,Örebro,1882,Askersund,LA2332,25,B5,3
18,Örebro,1883,Karlskoga,LA2332,26,C6,2
18,Örebro,1884,Nora,LA2332,25,B4,2
18,Örebro,1885,Lindesberg,LA2332,25,B5,3
19,Västmanland,1904,Skinnskatteberg,LA2333,24,C7,3
19,Västmanland,1907,Surahammar,LA2333,24,B4,2
19,Västmanland,1960,Kungsör,LA2333,24,C7,3
19,Västmanland,1961,Hallstahammar,LA2333,24,B4,2
19,Västmanland,1962,Norberg,LA2333,24,C7,3
19,Västmanland,1980,Västerås,LA2333,24,B3,1
19,Västmanland,1981,Sala,LA2333,24,B4,2
19,Västmanland,1982,Fagersta,LA2333,24,C7,2
19,Västmanland,1983,Köping,LA2333,24,B5,2
19,Västmanland,1984,Arboga,LA2333,24,C7,2
20,Dalarna,2021,Vansbro,LA2334,31,C8,3
20,Dalarna,2023,Malung-Sälen,LA2335,30,C9,3
20,Dalarna,2026,Gagnef,LA2337,34,B4,3
20,Dalarna,2029,Leksand,LA2337,34,C9,3
20,Dalarna,2031,Rättvik,LA2337,34,C9,3
20,Dalarna,2034,Orsa,LA2336,35,C9,3
20,Dalarna,2039,Älvdalen,LA2336,35,C9,3
20,Dalarna,2061,Smedjebacken,LA2339,32,C7,3
20,Dalarna,2062,Mora,LA2336,35,C9,3
20,Dalarna,2080,Falun,LA2337,34,C6,2
20,Dalarna,2081,Borlänge,LA2337,34,B3,2
20,Dalarna,2082,Säter,LA2337,34,B4,3
20,Dalarna,2083,Hedemora,LA2338,33,C7,3
20,Dalarna,2084,Avesta,LA2338,33,C6,2
20,Dalarna,2085,Ludvika,LA2339,32,C6,2
21,Gävleborg,2101,Ockelbo,LA2341,36,B4,3
21,Gävleborg,2104,Hofors,LA2341,36,C7,2
21,Gävleborg,2121,Ovanåker,LA2343,37,C8,3
21,Gävleborg,2132,Nordanstig,LA2344,38,C7,3
21,Gävleborg,2161,Ljusdal,LA2340,39,C8,3
21,Gävleborg,2180,Gävle,LA2341,36,B3,2
21,Gävleborg,2181,Sandviken,LA2341,36,B5,2
21,Gävleborg,2182,Söderhamn,LA2342,37,C8,2
21,Gävleborg,2183,Bollnäs,LA2343,37,C8,3
21,Gävleborg,2184,Hudiksvall,LA2344,38,C6,3
22,Västernorrland,2260,Ånge,LA2345,42,C8,3
22,Västernorrland,2262,Timrå,LA2345,42,B4,2
22,Västernorrland,2280,Härnösand,LA2345,42,C6,2
22,Västernorrland,2281,Sundsvall,LA2345,42,B3,2
22,Västernorrland,2282,Kramfors,LA2346,43,C8,3
22,Västernorrland,2283,Sollefteå,LA2347,45,C8,3
22,Västernorrland,2284,Örnsköldsvik,LA2348,44,C6,3
23,Jämtland,2303,Ragunda,LA2351,41,C8,3
23,Jämtland,2305,Bräcke,LA2351,41,B5,3
23,Jämtland,2309,Krokom,LA2351,41,B4,3
23,Jämtland,2313,Strömsund,LA2349,46,C8,3
23,Jämtland,2321,Åre,LA2351,41,C9,3
23,Jämtland,2326,Berg,LA2351,41,B5,3
23,Jämtland,2361,Härjedalen,LA2350,40,C9,3
23,Jämtland,2380,Östersund,LA2351,41,B3,2
24,Västerbotten,2401,Nordmaling,LA2356,48,B4,3
24,Västerbotten,2403,Bjurholm,LA2356,48,B4,3
24,Västerbotten,2404,Vindeln,LA2356,48,B5,3
24,Västerbotten,2409,Robertsfors,LA2356,48,B4,3
24,Västerbotten,2417,Norsjö,LA2358,52,C8,3
24,Västerbotten,2418,Malå,LA2357,49,C8,3
24,Västerbotten,2421,Storuman,LA2352,51,C9,3
24,Västerbotten,2422,Sorsele,LA2360,54,C9,3
24,Västerbotten,2425,Dorotea,LA2353,46,C8,3
24,Västerbotten,2460,Vännäs,LA2356,48,B4,3
24,Västerbotten,2462,Vilhelmina,LA2354,50,C8,3
24,Västerbotten,2463,Åsele,LA2355,47,C8,3
24,Västerbotten,2480,Umeå,LA2356,48,B3,1
24,Västerbotten,2481,Lycksele,LA2357,49,C8,2
24,Västerbotten,2482,Skellefteå,LA2358,52,C6,2
25,Norrbotten,2505,Arvidsjaur,LA2359,53,C8,3
25,Norrbotten,2506,Arjeplog,LA2360,54,C9,3
25,Norrbotten,2510,Jokkmokk,LA2364,58,C9,3
25,Norrbotten,2513,Överkalix,LA2361,57,C8,3
25,Norrbotten,2514,Kalix,LA2365,55,C8,3
25,Norrbotten,2518,Övertorneå,LA2362,55,C8,3
25,Norrbotten,2521,Pajala,LA2363,60,C8,3
25,Norrbotten,2523,Gällivare,LA2364,59,C9,2
25,Norrbotten,2560,Älvsbyn,LA2365,55,B5,3
25,Norrbotten,2580,Luleå,LA2365,55,B3,2
25,Norrbotten,2581,Piteå,LA2365,55,C6,2
25,Norrbotten,2582,Boden,LA2365,55,B5,2
25,Norrbotten,2583,Haparanda,LA2366,56,C8,2
25,Norrbotten,2584,Kiruna,LA2367,60,C6,2
